Title,Description,Links,"Publication Date"
"В Петербурге запретили частные полеты дронов до 15 мая","В Санкт-Петербурге до 15 мая введен запрет на запуск частных беспилотников. Новые разрешения на полеты временно выдаваться не будут.",https://www.kommersant.ru/doc/5967538,"Wed, 03 May 2023 18:32:56 +0300"
"Власти Подмосковья напомнили о запрете на полеты беспилотников","Пресс-служба губернатора Подмосковья Андрея Воробьева сообщила, что в регионе решили запретить выдачу разрешений на полеты беспилотных летательных аппаратов. В пресс-службе добавили, что решение было принято на заседании оперативного штаба Московской области в апреле.",https://www.kommersant.ru/doc/5967551,"Wed, 03 May 2023 18:26:40 +0300"
"В Ростовской области бывший полицейский получил условный срок за разглашение гостайны","Бывший заместитель начальника отдела оперативно-поискового бюро ГУ МВД России по Ростовской области был осужден на год и шесть месяцев условно с испытательным сроком на год за разглашение сведений, составляющих государственную тайну. Об этом сообщает пресс-служба УФСБ Ростовской области, не раскрывая личность осужденного.",https://www.kommersant.ru/doc/5967534,"Wed, 03 May 2023 18:24:02 +0300"
"США отказались комментировать атаку беспилотников на Кремль","Госсекретарь США Энтони Блинкен заявил, что не готов комментировать атаку украинских беспилотников на Кремль, совершенную в ночь на 3 мая. «Я видел сообщения, я просто не могу их подтвердить каким-либо образом.",https://www.kommersant.ru/doc/5967541,"Wed, 03 May 2023 18:23:33 +0300"
"Власти отменили парад на 9 Мая в Липецке и Ельце из-за возможных провокаций","Власти Липецкой области отменили парады на 9 Мая в Липецке и Ельце, сообщил глава региона Игорь Артамонов в Telegram. По словам губернатора, решению способствовала информация силовиков о возможных провокациях в День Победы.",https://www.kommersant.ru/doc/5967537,"Wed, 03 May 2023 18:06:58 +0300"
"СКР возбудил против Алексея Панина дело за оправдание терроризма","Следователи московского управления СКР возбудили уголовное дело в отношении проживающего в Испании актера Алексея Панина. Причиной стали его высказывания, оправдывающие теракт на Крымском мосту, сообщает ТАСС.",https://www.kommersant.ru/doc/5967528,"Wed, 03 May 2023 17:54:39 +0300"
"«Росатом» планирует до конца года начать строительство четвертого энергоблока АЭС «Эль-Дабаа» в Египте","«Росатом» надеется до конца 2023 года получить разрешение на установку четвертого энергоблока АЭС «Эль-Дабаа» в Египте и приступить к стадии строительства этого участка. Об этом сообщил президент инжинирингового дивизиона госкорпорации «Росатом» — «Атомстройэкспорт» — Александр Корчагин.",https://www.kommersant.ru/doc/5967516,"Wed, 03 May 2023 17:53:22 +0300"
"В Коломне обнаружены обломки беспилотника","В подмосковной Коломне обнаружили обломки беспилотного летательного аппарата в лесополосе. Как сообщили ТАСС в правоохранительных органах, на месте падения образовалась «небольшая воронка».",https://www.kommersant.ru/doc/5967522,"Wed, 03 May 2023 17:50:39 +0300"
"Администрация подмосковного Серпухова запретила использование беспилотников","Администрация городского округа Серпухов в Московской области ввела запрет на использование беспилотных летательных аппаратов (БПЛА) на территории муниципалитета. Об этом сообщила пресс-служба администрации городского округа.",https://www.kommersant.ru/doc/5967520,"Wed, 03 May 2023 17:45:38 +0300"
"Боррель предложил вводить санкции за коррупцию","Еврокомиссия (ЕК) представила комплекс мер по борьбе с коррупцией в странах Евросоюза, а также механизм введения санкций против проявлений коррупции по всему миру, который предложил глава дипломатии ЕС Жозеп Боррель. Об этом сообщила пресс-служба ЕК.",https://www.kommersant.ru/doc/5967443,"Wed, 03 May 2023 17:45:17 +0300"
"Переводы физлицам из России в Армению в I квартале 2023 года выросли в 5 раз","За первый квартал 2023 года из России в Армению (через банковскую систему республики) физлицам перевели около $1,2 млрд, следует из статистики (.xls) Центрального банка Армении. По данным Frank Media, это в пять раз больше, чем за аналогичный период 2022 года ($239 млн).",https://www.kommersant.ru/doc/5967515,"Wed, 03 May 2023 17:34:48 +0300"
"Motorola представила бюджетный смартфон со стилусом","Компания Motorola представила новый смартфон Moto G Stylus — бюджетную модель, оснащенную стилусом. Продажи Motorola Moto G Stylus в США начнутся 5 мая.",https://www.kommersant.ru/doc/5967494,"Wed, 03 May 2023 17:30:37 +0300"
"У напавшего на школу в Белграде подростка обнаружен список жертв","Начальник управления полиции Белграда Веселин Милич сообщил, что 14-летний подросток Коста Кецманович, открывший стрельбу в средней школе в центре города, планировал нападение месяц. На его рабочем столе нашли бумаги, где указаны имена детей, которых он планировал убить, а также план входа и выхода из школы.",https://www.kommersant.ru/doc/5967480,"Wed, 03 May 2023 17:12:12 +0300"
"Кудерметова обыграла третью ракетку мира Пегулу в четвертьфинале WTA-1000","Российская теннисистка Вероника Кудерметова обыграла американку Джессику Пегулу в четвертьфинальном матче турнира WTA-1000 в Мадриде — 2:1 (6:4, 0:6, 6:4). Игра длилась 2 часа 5 минут.",https://www.kommersant.ru/doc/5967485,"Wed, 03 May 2023 17:04:19 +0300"
"ЦБ: база заемщиков банков и МФО увеличилась до 46 млн человек","Число заемщиков банков и микрофинансовых организаций (МФО) выросло до 46 млн в 2022 году, сообщает Банк России со ссылкой на данные бюро кредитных историй (БКИ). База заемщиков МФО растет быстрее, чем у банков — количество банковских заемщиков увеличивается преимущественно за счет ипотеки.",https://www.kommersant.ru/doc/5967478,"Wed, 03 May 2023 16:54:53 +0300"
"Володин: депутаты потребуют применения оружия, которое уничтожит киевский режим","После атаки двух украинских беспилотников на Кремль спикер Госдумы Вячеслав Володин выступил с инициативой признать «киевский нацистский режим террористической организацией». Он заявил, что переговоров с президентом Украины Владимиром Зеленским теперь быть не должно.",https://www.kommersant.ru/doc/5967479,"Wed, 03 May 2023 16:46:26 +0300"
"«Новая газета» рассказала об учрежденной во Франции премии имени Анны Политковской","Министерство иностранных дел Франции учредило премию имени Анны Политковской за журналистское мужество, сообщила «Новая газета». С инициативой выступили глава французского МИДа Катрин Колонна и главный редактор «Новой газеты» Дмитрий Муратов.",https://www.kommersant.ru/doc/5967446,"Wed, 03 May 2023 15:59:35 +0300"
"Зеленский уверен, что Запад передаст Украине самолеты после контрнаступления","Президент Украины Владимир Зеленский уверен, что западные союзники примут окончательное решение о поставках Киеву боевых самолетов после украинского контрнаступления. Такое мнение господин Зеленский выразил в ходе совместной пресс-конференции с президентом Финляндии Саули Ниинистё.",https://www.kommersant.ru/doc/5967448,"Wed, 03 May 2023 15:57:03 +0300"
"Алла Пугачева прилетела в Москву","Певица Алла Пугачева прилетела в Москву, сообщила ТАСС ее помощница Елена Чупракова. Певица уехала из России после начала спецоперации и проживает в Израиле.",https://www.kommersant.ru/doc/5967441,"Wed, 03 May 2023 15:56:02 +0300"
"Пресс-секретарь Зеленского: у нас нет информации об атаках на Кремль","Пресс-секретарь президента Украины Сергей Никифоров прокомментировал атаку беспилотников на кремлевскую резиденцию президента России Владимира Путина. По его словам, у Украины данных об атаках нет.",https://www.kommersant.ru/doc/5967447,"Wed, 03 May 2023 15:49:23 +0300"
"Пригожин считает, что контрнаступление ВСУ началось","Глава ЧВК «Вагнер» Евгений Пригожин сообщил, что видит активизацию вооруженных сил Украины на фронте. По его оценкам, это свидетельствует о начале анонсированного ранее контрнаступления.",https://www.kommersant.ru/doc/5967445,"Wed, 03 May 2023 15:47:28 +0300"
"Песков: переносить парад Победы из-за атаки беспилотников на Кремль не будут","Парад на Красной площади в честь Дня Победы, как и планировалось, состоится 9 мая. Президент России Владимир Путин примет в нем участие, сообщил пресс-секретарь главы государства Дмитрий Песков.",https://www.kommersant.ru/doc/5967430,"Wed, 03 May 2023 15:28:37 +0300"
"Dyson объявила о значительном расширении производства","Компания Dyson объявила о предстоящем строительстве производственных мощностей и технологических хабов в Сингапуре, на Филиппинах и в Великобритании. Это масштабное расширение производства реализуется в соответствии с ранее объявленным пятилетним планом глобальных инвестиций на $3,4 млрд.",https://www.kommersant.ru/doc/5967408,"Wed, 03 May 2023 15:26:55 +0300"
"Зеленский прилетит в Германию на вручение премии имени Карла Великого","Президент Украины Владимир Зеленский посетит Германию с двухдневным визитом, сообщает немецкий телеканалN-TV со ссылкой на данные берлинской полиции и собственные источники. 13 мая глава Украины прибудет в Берлин, а на следующий день отправится в Ахен на вручение премии имени Карла Великого.",https://www.kommersant.ru/doc/5967424,"Wed, 03 May 2023 15:18:08 +0300"
